Ano,Sexo,Total
2003.2,M,1
2004.2,M,1
2005.1,M,116
2005.1,F,22
2005.2,M,244
2005.2,F,34
2006.1,M,461
2006.1,F,55
2006.2,M,693
2006.2,F,74
2007.1,M,987
2007.1,F,91
2007.2,M,1242
2007.2,F,126
2008.1,M,1523
2008.1,F,168
2008.2,M,1781
2008.2,F,225
2009.1,M,2150
2009.1,F,281
2009.2,M,2189
2009.2,F,316
2010.1,M,2352
2010.1,F,366
2010.2,M,2530
2010.2,F,403
2011.1,M,2718
2011.1,F,454
2011.2,M,2800
2011.2,F,465
2012.1,M,3078
2012.1,F,500
2012.2,M,3388
2012.2,F,538
2013.1,M,3685
2013.1,F,591
2013.2,M,3781
2013.2,F,590
2014.1,M,3841
2014.1,F,608
2014.2,M,3851
2014.2,F,607
2015.1,M,3703
2015.1,F,581
2015.2,M,3581
2015.2,F,542
2016.1,M,3466
2016.1,F,537
2016.2,M,3407
2016.2,F,514
2017.1,M,3385
2017.1,F,512
2017.2,M,3813
2017.2,F,593
2018.1,M,3835
2018.1,F,612
2018.2,M,3788
2018.2,F,607
2019.1,M,3002
2019.1,F,488
2019.2,M,2896
2019.2,F,506
2020.1,M,3008
2020.1,F,556
2020.2,M,3261
2020.2,F,606
2021.1,M,3552
2021.1,F,670
2021.2,M,3828
2021.2,F,740
2022.1,M,4037
2022.1,F,810
2022.2,M,3968
2022.2,F,798
2023.1,M,4533
2023.1,F,980
2023.2,M,4478
2023.2,F,951
2024.1,M,5067
2024.1,F,1119
2024.2,M,3994
2024.2,F,983